census_block_group,Total population,Households total,female_ratio,white_ratio,black_ratio,asian_ratio,Hispanic_ratio,non_Hispanic_white_ratio,non_Hispanic_black_ratio,bachelor_ratio,english_limited_ratio,average_income,median_income,poverty_ratio,median_age,population_young_ratio,population_middle_ratio,population_old_ratio,unemployed_ratio,moved_in_5_years_ratio,disability_household_ratio,no_health_insurance_ratio,single_family_ratio,driving_ratio,public_transit_ratio,average_commuting_time,leave_home_time,average_household_size,children_rate,vehicle_rate,longitude,latitude,average_income_group
421010008043,1416,1031,0.4865819209039548,0.8792372881355932,0.0473163841807909,0.0734463276836158,0.0798022598870056,0.7994350282485876,0.0473163841807909,0.9194847020933976,0.0,146830.74684772067,137313.0,0.0981638418079096,30.3,0.0360169491525423,0.856638418079096,0.1073446327683615,0.0190045248868778,0.2162948593598448,0.0397672162948593,0.0543785310734463,0.011639185257032,0.299812030075188,0.1795112781954887,27.017453798767967,8.416067761806982,1.3462657613967022,0.1282051282051282,0.3637245392822502,-75.16677074533804,39.94828967229167,4.0
421010009011,1133,715,0.5684024713150927,0.7563989408649603,0.0838481906443071,0.1359223300970873,0.0458958517210944,0.7105030891438658,0.0838481906443071,0.7595628415300546,0.0,60440.55944055944,44161.0,0.1685789938217122,29.1,0.0432480141218005,0.8437775816416593,0.1129744042365401,0.0594837261503928,0.1062937062937063,0.1118881118881118,0.0979699911738746,0.0072639225181598,0.2726176115802171,0.1399276236429433,24.41797346200241,8.854041013268999,1.4293706293706294,0.3858267716535433,0.3538461538461538,-75.16118903313144,39.94774931609735,2.0
421010009012,1026,772,0.4970760233918128,0.6471734892787524,0.080896686159844,0.2056530214424951,0.087719298245614,0.6042884990253411,0.080896686159844,0.8122827346465817,0.0505181347150259,48549.22279792746,28409.0,0.2738791423001949,30.5,0.0341130604288499,0.8567251461988304,0.1091617933723196,0.0833333333333333,0.1463730569948186,0.0945595854922279,0.1364522417153996,0.0,0.0805687203791469,0.330173775671406,23.72395833333333,9.40407986111111,1.278497409326425,0.3857142857142857,0.1839378238341968,-75.16347907648338,39.948032254842886,1.0
421010009021,1416,847,0.5204802259887006,0.653954802259887,0.0706214689265536,0.2492937853107344,0.0275423728813559,0.626412429378531,0.0706214689265536,0.6268894192521878,0.2656434474616292,98057.85123966944,36645.0,0.2139830508474576,49.4,0.096045197740113,0.4576271186440678,0.4463276836158192,0.0140845070422535,0.0165289256198347,0.2609208972845336,0.0,0.0232323232323232,0.3267857142857143,0.1517857142857142,28.246336996337,7.891025641025641,1.6080283353010625,0.5112781954887218,0.4203069657615111,-75.15507140645606,39.946947948324855,4.0
421010009022,1247,395,0.5276663993584603,0.7906976744186046,0.0417000801924619,0.1186848436246992,0.0088211708099438,0.7818765036086608,0.0417000801924619,0.8480825958702065,0.0,116822.78481012658,84750.0,0.1743827160493827,25.6,0.111467522052927,0.8291900561347233,0.0593424218123496,0.0071022727272727,0.0759493670886076,0.0481012658227848,0.0184442662389735,0.0,0.2326951399116347,0.1251840942562592,30.200348432055748,9.581010452961673,1.5341772151898734,0.3870967741935484,0.5316455696202531,-75.15844065641429,39.9474027918462,4.0
421010010011,1339,918,0.5862584017923824,0.9096340552651232,0.017176997759522,0.058252427184466,0.0194174757281553,0.8902165795369679,0.017176997759522,0.8681148176881304,0.008714596949891,121244.55337690632,95833.0,0.0433159073935772,65.3,0.0336071695294996,0.3786407766990291,0.5877520537714712,0.0239880059970015,0.0337690631808278,0.2200435729847494,0.0067214339058999,0.0158415841584158,0.3375394321766561,0.2665615141955836,27.372322899505765,8.324135090609555,1.4455337690631809,0.1253481894150417,0.6503267973856209,-75.15132453875036,39.947347996994445,4.0
421010010012,1325,574,0.6166037735849057,0.8135849056603773,0.030943396226415,0.0347169811320754,0.0,0.8135849056603773,0.030943396226415,0.8037475345167653,0.0,120805.74912891988,84375.0,0.1033962264150943,34.5,0.1494339622641509,0.6490566037735849,0.2015094339622641,0.0117924528301886,0.0418118466898954,0.151567944250871,0.0143396226415094,0.0083056478405315,0.3634116192830655,0.1705809641532756,26.325701624815363,8.1602658788774,2.1149825783972127,0.6701754385964912,0.7038327526132404,-75.15191918793467,39.94375582326592,4.0
421010010021,1384,686,0.5267341040462428,0.9291907514450868,0.0144508670520231,0.0122832369942196,0.1069364161849711,0.8222543352601156,0.0144508670520231,0.8293103448275863,0.0131195335276967,153866.61807580176,121442.0,0.0303468208092485,39.0,0.14378612716763,0.6278901734104047,0.2283236994219653,0.0218295218295218,0.0,0.1224489795918367,0.0180635838150289,0.013530135301353,0.5918141592920354,0.1261061946902655,30.25957972805933,8.02008652657602,1.946064139941691,0.4643962848297213,0.7813411078717201,-75.14598672283648,39.94353525606568,4.0
421010010022,856,395,0.5373831775700935,0.980140186915888,0.0,0.0198598130841121,0.0105140186915887,0.969626168224299,0.0,0.8328125,0.0,165993.67088607594,108897.0,0.0,36.7,0.2231308411214953,0.5759345794392523,0.2009345794392523,0.1123809523809523,0.0253164556962025,0.0253164556962025,0.0934579439252336,0.0198019801980198,0.4592274678111588,0.1266094420600858,28.8631090487239,8.28828306264501,2.091139240506329,0.7458333333333333,0.7772151898734178,-75.14764097781776,39.94411462715913,4.0
421010010023,1152,642,0.5225694444444444,0.8845486111111112,0.0486111111111111,0.0642361111111111,0.0347222222222222,0.8498263888888888,0.0486111111111111,0.8685300207039337,0.0,115428.34890965732,85714.0,0.1805555555555555,49.3,0.1111111111111111,0.5121527777777778,0.3767361111111111,0.0462427745664739,0.1090342679127725,0.0934579439252336,0.0060763888888888,0.0,0.305050505050505,0.3777777777777777,24.035087719298247,8.461074561403509,1.632398753894081,0.5622119815668203,0.6900311526479751,-75.14685926811826,39.94665914800159,4.0
