placekey,racial_segregation_index,Hispanic_selfcbg,black_selfcbg,asian_selfcbg,white_selfcbg,other_selfcbg,Hispanic_dif,Hispanic_real,black_dif,black_real,asian_dif,asian_real,white_dif,white_real,other_dif,other_real
222-222@628-p8d-ffz,0.448533,0.0,0.0,0.0,1.0,0.0,0.11653023768520696,0.11653023768520696,0.0669462676390993,0.0669462676390993,0.015683475878236607,0.015683475878236607,-0.21004861370802352,0.7899513862919765,0.010888660619476433,0.010888660619476433
222-222@628-p8d-rx5,0.188915,0.359909,0.412301,0.004556,0.203872,0.019362,-0.05478148545249739,0.3051275145475026,-0.15177794757632362,0.26052305242367635,0.03529128325632923,0.039847283256329226,0.1645764460711166,0.3684484460711166,0.006691812609558718,0.02605381260955872
222-222@628-p8f-435,0.391893,0.060048,0.000595,0.012485,0.926873,0.0,0.1561894666666667,0.21623746666666668,0.0614726,0.0620676,0.02793413333333333,0.04041913333333333,-0.2962906666666666,0.6305823333333334,0.05069373333333334,0.05069373333333334
222-222@628-p8h-5mk,0.210423,0.038462,0.835165,0.0,0.032967,0.093407,0.0955519512338722,0.1340139512338722,-0.6211196531921679,0.21404534680783213,0.07553594288888907,0.07553594288888907,0.5144407857763593,0.5474077857763593,-0.06440999721139695,0.028997002788603045
222-222@628-p8j-6zf,0.195341,0.038462,0.835165,0.0,0.032967,0.093407,0.1208340568327467,0.1592960568327467,-0.5916825248315166,0.2434824751684834,0.060112712932874825,0.060112712932874825,0.48853121346361844,0.5214982134636185,-0.07779665057048507,0.015610349429514935
222-222@628-p8m-73q,0.147474,0.365532,0.351262,0.061471,0.116356,0.105379,-0.14515361193605653,0.2203783880639435,-0.06816326138878936,0.28309873861121065,-0.003798856155574383,0.057672143844425615,0.2932673284932529,0.4096233284932529,-0.07615165681342986,0.02922734318657013
222-222@628-p8t-4d9,0.268989,0.028019,0.02068,0.0,0.951301,0.0,0.07431932534885913,0.10233832534885913,0.18544873297642342,0.20612873297642342,0.05831188012243704,0.05831188012243704,-0.33638620450438206,0.6149147954956179,0.018306196990308162,0.018306196990308162
222-222@628-p8v-7bk,0.333695,0.028019,0.02068,0.0,0.951301,0.0,0.06910680261721375,0.09712580261721375,0.13138664856710391,0.15206664856710392,0.05620938615741973,0.05620938615741973,-0.27330524918395205,0.6779957508160479,0.01660246631504524,0.01660246631504524
222-222@628-p9k-nbk,0.326171,0.032928,0.11413,0.25,0.566816,0.036125,0.056148097318298396,0.0890760973182984,0.03201056283321478,0.14614056283321478,-0.14658804902250322,0.1034119509774968,0.0662590476336915,0.6330750476336915,-0.007828683372748006,0.028296316627251992
222-222@628-p9k-r8v,0.352179,0.0,0.081662,0.0,0.883954,0.034384,0.09032953979724265,0.09032953979724265,0.05279001615701716,0.13445201615701716,0.061717454178317144,0.061717454178317144,-0.18793814172002643,0.6960158582799736,-0.016898852922369305,0.017485147077630693
