,placekey,location_name,top_category,naics_code,poi_cbg
9069,zzw-222@628-pm7-rff,Faheem's Hands Of Precision,Personal Care Services,81211,421010037013.0
9070,zzw-222@628-pmb-rrk,Marriott Hotels,Traveler Accommodation,721110,421010010021.0
9071,zzw-222@628-pnw-w8v,Go Vertical,Other Amusement and Recreation Industries,713990,421010142002.0
9072,222-222@628-pgb-qfz,Greater Harvest Baptist Church,Religious Organizations,813110,421010140003.0
9073,222-222@628-pgh-x3q,Medina mini market,Grocery Stores,445120,421010377003.0
9074,222-222@628-phm-8jv,Alfonso Clark DDS,Offices of Dentists,621210,421010268004.0
9075,222-222@628-phy-bff,Community Council Learning Academy,Elementary and Secondary Schools,611110,421010383001.0
9076,222-222@628-pj2-2kz,Autosheen All Soft Cloth Car Wash,Automotive Repair and Maintenance,8111,421010383001.0
9077,222-223@628-pm9-fzz,,,0,421010038002.0
9078,222-229@628-pmf-mtv,Philadelphia Sports Club,Other Amusement and Recreation Industries,713940,421010004022.0
9079,223-222@628-p8d-kzz,Wee Kids Day Care,Child Day Care Services,624410,421010293002.0
9080,223-222@628-p8h-8gk,Convenient Grocery,Grocery Stores,445110,421010326006.0
9081,223-222@628-p9p-qvf,Nailtopia,Personal Care Services,81211,421010356012.0
9082,223-222@628-pg4-h3q,DaVita,Outpatient Care Centers,621492,421010240002.0
9083,224-222@628-p75-9pv,Advance Auto Parts,"Automotive Parts, Accessories, and Tire Stores",441310,421010349004.0
9084,224-222@628-p82-g6k,Northeast Philadelphia Islamic Center,Religious Organizations,813110,421010310003.0
9085,224-222@63s-dvy-8sq,Take the Lead,Other Amusement and Recreation Industries,713940,421010086011.0
9086,224-223@628-pj8-tgk,Hong Phat,Restaurants and Other Eating Places,722511,421010291001.0
9087,224-225@628-pm9-v2k,Penn Cardiology,Offices of Physicians,621111,421010009021.0
9088,225-222@628-p8d-5vf,Allstate Insurance,"Agencies, Brokerages, and Other Insurance Related Activities",524210,421010380002.0
9089,225-222@628-pgm-575,Falls Flowers,Florists,453110,421010207003.0
9090,226-222@628-p7b-vmk,Ruby B B Q,Restaurants and Other Eating Places,722511,421010348012.0
9091,226-222@628-p7x-68v,AT&T,Wired and Wireless Telecommunications Carriers,517312,421010335002.0
9092,226-222@63s-dvy-pn5,U Town,Restaurants and Other Eating Places,722511,421010088022.0
9093,227-222@628-pp4-qzz,O'Brien's Tire & Auto,Automotive Repair and Maintenance,8111,421010160006.0
9094,227-223@628-pgj-cqz,Rite Aid,Health and Personal Care Stores,446110,421010147002.0
9095,228-222@628-pfy-h3q,Ruby Chinese Restaurant,Restaurants and Other Eating Places,722511,421010216002.0
9096,228-222@628-pm9-s3q,Rosa Blanca,Restaurants and Other Eating Places,722511,421010005001.0
9097,229-222@63s-dvy-zj9,West Catholic Alumni Assn,Social Assistance,624,421010086021.0
9098,22c-222@628-pj4-bzf,BFA Towing,Support Activities for Road Transportation,488410,421010245002.0
9099,22f-222@628-pgb-vxq,Apostolates Inc,Religious Organizations,813110,421010131001.0
9100,22f-222@628-pjf-ks5,Jos. A. Bank Clothiers,Clothing Stores,448110,421010385001.0
9101,22g-222@628-p7b-vmk,Penny Gardens Tavern,Drinking Places (Alcoholic Beverages),722410,421010348012.0
9102,22g-222@628-p8d-n89,M&C Contractors,Building Finishing Contractors,2383,421010293002.0
9103,22g-222@628-pg2-3kf,Four Seasons Day Camp,Child Day Care Services,624410,421010213003.0
9104,22m-222@628-p8f-9xq,Frankford Avenue Pharmacy,Health and Personal Care Stores,446110,421010294001.0
9105,22n-222@63s-dw2-5cq,Jim's Steaks,Restaurants and Other Eating Places,722511,421010101004.0
9106,22p-222@628-pm9-v2k,Ristorante La Buca,Restaurants and Other Eating Places,722511,421010009021.0
