placekey,latitude,longitude
222-224@8dj-mpn-hqz,27.970276,-82.401983
223-222@8dj-f6k-x5z,28.054899,-82.460406
223-222@8dj-f87-y5f,28.003969,-82.484875
223-222@8dj-f95-h5z,28.006713,-82.426819
223-223@8dj-dqx-rkz,28.161891,-82.352731
223-223@8dj-fgj-qvf,28.143273,-82.291896
223-226@8dj-jvh-gp9,27.931415,-82.50971700000001
224-222@8dj-f94-xt9,,
224-222@8dj-jw4-py9,27.951155,-82.483824
225-222@8dj-dqx-wff,28.174177,-82.355387
225-222@8dj-f8w-249,28.024736,-82.50326
225-222@8dj-f97-wp9,27.992419,-82.459671
225-223@8dj-jz4-xh5,28.011131,-82.540839
226-222@8dj-f87-whq,28.000102,-82.486209
226-222@8dj-f8d-zpv,27.97558,-82.484272
226-222@8dj-jw7-7bk,27.968734,-82.459189
227-222@8dj-f7j-mff,28.031811,-82.438976
229-222@8dj-f6q-7dv,28.027421,-82.44614
22b-222@8dj-jwb-649,27.943121,-82.493624
22c-222@8dj-f8b-b6k,27.973844,-82.496051
22d-223@8dj-jtx-9pv,27.921306,-82.49335400000001
22g-222@8dj-dqn-5vf,28.178335,-82.362001
22m-222@8dj-jw2-yjv,27.94205,-82.48235799999999
22q-222@8dj-jv7-59f,27.94647,-82.538589
233-222@8dj-jz8-qzz,27.972204,-82.563476
zzw-222@8dj-f6f-fvf,28.034895,-82.466365
zzw-222@8dj-f6h-dqf,28.058921,-82.450742
zzw-222@8dj-f78-9xq,28.046895000000003,-82.41093000000001
zzw-222@8dj-f7f-cdv,28.054903000000003,-82.400852
zzw-222@8dj-fgj-2tv,28.134534,-82.28743
zzw-222@8dj-jtx-54v,27.9217,-82.48763199999999
zzw-222@8dj-jvb-3t9,27.955931,-82.523538
zzw-222@8dj-jvb-9xq,27.944228000000003,-82.50519399999999
zzw-222@8dj-jz5-psq,28.002234,-82.544084
zzw-222@8dj-mp4-vzz,27.951301,-82.34035
zzw-222@8dj-mpf-s3q,27.992804,-82.39035600000001
zzw-222@8dj-mqf-xnq,27.961128,-82.330486
zzw-222@8dj-mr5-4n5,27.956459,-82.422105
222-222@8dj-f96-8vz,27.972151,-82.434625
222-222@8dj-ffp-qcq,28.149858,-82.354019
222-222@8dj-jv2-9fz,27.894928000000004,-82.520678
222-222@8dj-jv6-qfz,27.952662,-82.530103
222-223@8dj-jv9-sqz,27.955149,-82.507447
222-224@8dj-dqx-r6k,28.163383000000003,-82.354522
222-224@8dj-jvb-6kz,27.953159000000003,-82.522894
223-222@8dj-f7h-9cq,28.009255,-82.410854
223-222@8dj-f8d-2p9,27.996876,-82.51509
223-223@8dj-dsn-sqz,28.115976,-82.379049
223-223@8dj-jwb-49z,27.945074,-82.486216
224-222@8dj-f6r-26k,28.019427,-82.459149
224-222@8dj-f79-7yv,28.033414,-82.404854
224-222@8dj-f85-26k,27.993581,-82.511361
224-222@8dj-jr7-kmk,27.957628000000003,-82.726697
224-222@8dj-jvh-mzf,27.926367,-82.505557
224-223@8dj-jtt-t5f,27.901619,-82.51886800000001
225-222@8dj-f6q-gzf,28.033335,-82.450473
225-222@8dj-ffr-dvz,28.14977,-82.32195
225-224@8dj-f82-49z,28.069599,-82.41152
227-222@8dj-f7w-f4v,28.071555,-82.425195
227-222@8dj-f8f-rff,27.973725,-82.486649
